jogo,titulo,canal,data,plataforma
Call of Duty Warzone,This Player RUINED WARZONE! 😱,FaZe Blaze,2022-08-08T02:40:21Z,YouTube
Call of Duty Warzone,CALL OF DUTY MODERN WARFARE 2 Gameplay Walkthrough Campaign FULL GAME [4K 60FPS PS5],MKIceAndFire,2022-10-21T02:05:40Z,YouTube
Call of Duty Warzone,Squid Game skins in Warzone are so tuff😍 / all skins &amp; bot lobbies in bio⬆ #squidgame  #warzone #cod,Wu77a,2025-01-07T18:58:28Z,YouTube
Call of Duty Warzone,If Our Parents Played Warzone...,Dimucc,2021-10-01T16:00:21Z,YouTube
Call of Duty Warzone,The Controller Made For PC…,YTLukeyy,2024-02-12T11:30:31Z,YouTube
Call of Duty Warzone,1v4 endgame vs *ACTUAL* sweats #warzone #callofduty #rebirthisland #mw3,Galaxywz,2024-09-20T01:09:22Z,YouTube
Call of Duty Warzone,@CallofDuty can you PLEASE EXPLAIN?? 🤔#shorts,RowdyRogan,2022-11-25T19:00:31Z,YouTube
Call of Duty Warzone,WARZONE GODZILLA VS KONG GAMEPLAY! (NO COMMENTARY),NoAnnoyingCommentary,2022-05-23T12:00:30Z,YouTube
Call of Duty Warzone,*RUN* If you See this Skin... (Warzone Nuke) 😱☣️⁉️ #callofduty #cod #mw2 #warzone #warzone2,8eetris,2023-09-24T23:00:14Z,YouTube
Call of Duty Warzone,A GUN mouse?! Is this gonna make me better? 😅 #warzone,DeveloperAdam,2023-08-15T19:10:54Z,YouTube
Call of Duty Warzone,Call of Duty: Warzone Mobile | Launch Trailer,Call of Duty,2024-03-14T15:54:41Z,YouTube
Call of Duty Warzone,Sinful was in FLOW state🤯#warzone #warzonefunnyclips #gaming,ImSinful,2025-07-19T22:44:43Z,YouTube
Call of Duty Warzone,How CASUAL players play WARZONE!,Nadia,2023-04-20T01:00:18Z,YouTube
Call of Duty Warzone,Squalz Vs Toxic Egirl..☕💀 #shorts #cod #warzone #movement #squidgame #sniper #egirl #squalz #viral,Squalz,2025-01-19T05:50:11Z,YouTube
Call of Duty Warzone,These *GLITCHED* akimbo Snipers can ONE SHOT at INFINITE RANGE 😱 Setup at the end,OllMS,2025-05-12T15:27:36Z,YouTube
Apex Legends,When you try to heal in Apex Legends #shorts #gaming #apex #meme,aceof_spadess,2021-12-27T01:37:38Z,YouTube
Apex Legends,Apex Legends Loba in Real Life 😳,diehardGG,2022-06-14T20:37:23Z,YouTube
Apex Legends,Apex Legends Season 3 – Meltdown Launch Trailer,Apex Legends,2019-09-27T17:00:02Z,YouTube
Apex Legends,Apex Legends Season 4 – Assimilation Launch Trailer,Apex Legends,2020-01-30T18:00:10Z,YouTube
Apex Legends,APEX.EXE,PaluluMan,2019-03-10T18:46:54Z,YouTube
Apex Legends,Apex Legends Season 2 – Battle Charge Launch Trailer,Apex Legends,2019-06-27T15:05:11Z,YouTube
Apex Legends,Ballistic gets trapped by Caustic! #apexlegends,ItsWestSider,2023-06-16T05:00:05Z,YouTube
Apex Legends,Zero Recoil Trick in Apex Legends,Esidi,2023-03-01T00:47:45Z,YouTube
Apex Legends,Apex Legends Season 5 – Fortune’s Favor Gameplay Trailer,Apex Legends,2020-05-08T17:00:11Z,YouTube
Apex Legends,Apex Legends Season 3 – Meltdown Gameplay Trailer,Apex Legends,2019-09-28T04:27:01Z,YouTube
Apex Legends,I encounter a movement god... (Apex Legends),Mande,2023-06-14T14:08:45Z,YouTube
Apex Legends,WORST HEIRLOOM in Apex Legends?,Simply Ashton,2023-04-06T19:00:10Z,YouTube
Apex Legends,I&#39;ll never hit this Kraber shot again...,iiTzTimmy,2024-03-15T17:12:37Z,YouTube
Apex Legends,THE BEST PACK LUCK IN APEX LEGENDS EVER?,Ayy_TonyRomero,2023-01-24T21:07:32Z,YouTube
Apex Legends,Imagine Touching Apex For The First Time And He Did This! - Apex Legends,justapexthings,2023-07-19T06:00:05Z,YouTube
Apex Legends,"When a hacker sends you 4,000 Apex Packs",Mande,2024-02-10T19:00:19Z,YouTube
Apex Legends,Why I NEVER Open Apex Packs In Apex Legends,The Gaming Merchant,2022-10-11T07:21:12Z,YouTube
Apex Legends,I Got Banned in Apex Legends... 😭,schrodingerLee,2025-04-17T11:36:19Z,YouTube
Apex Legends,"Apex, but it&#39;s 𝗿𝗲𝗹𝗮𝘅𝗶𝗻𝗴 (4K)",ayex,2023-03-23T16:00:05Z,YouTube
Apex Legends,Crazy 1 v 3 Crypto Clutch + Mobile Respawn | Apex Legends,lburi,2023-05-21T19:00:24Z,YouTube
Apex Legends,Apex legends mobile is finally here!! #sponsoredbyea Link: https://ea.sng.link/Dqnnm/9uir/kiol,Adam W,2022-05-27T19:47:22Z,YouTube
Apex Legends,Unlocking the Level 100 R99 in Apex Legends #shorts,Zerbow,2023-06-07T18:02:00Z,YouTube
Apex Legends,Apex Legends: Ignite Launch Trailer,Apex Legends,2023-10-23T15:00:10Z,YouTube
Apex Legends,Octane’s Origin STORY is an Inside JOKE❗️Titanfall 👉🏻 Apex Legends,gamertingzzz,2023-03-06T16:41:56Z,YouTube
Apex Legends,What If Apex Legends Had 1st Person Finishers?,RossTheeSquirrel,2024-05-21T16:16:32Z,YouTube
Valorant,L’Accord - Chamber Agent Trailer // VALORANT,VALORANT,2021-10-29T15:00:08Z,YouTube
Valorant,tenz showing off the yoru tech,Kyedae,2023-01-12T11:59:13Z,YouTube
Valorant,TenZ tries VALORANT from 50ft away 🤯,Red Bull LFG,2025-07-30T19:00:13Z,YouTube
Valorant,RETAKE  // Episode 2 Cinematic - VALORANT,VALORANT,2021-01-09T12:00:25Z,YouTube
Valorant,Spark - Neon Agent Trailer // VALORANT,VALORANT,2022-01-05T17:34:46Z,YouTube
Valorant,The Best Ace Ever | #ceroqt #valorant #valorantclips,cero,2025-10-15T22:30:37Z,YouTube
Valorant,REVELATION // Episode 6 Cinematic - VALORANT,VALORANT,2023-01-05T16:00:08Z,YouTube
Valorant,Proof I can Hospital Flick in Valorant,UserSeif,2022-05-08T19:00:44Z,YouTube
Valorant,"Valorant, But I&#39;m Unlucky",Ujjwal Shorts,2022-03-22T03:30:09Z,YouTube
Valorant,VALORANTIN EN SİNİRLİ VELEDİ #gaming #valorant,Warlicia,2023-03-29T14:53:11Z,YouTube
Valorant,These Silver VALORANT Lobbies are UNREAL,curry,2023-05-06T16:30:02Z,YouTube
Valorant,Triple Rankup to Radiant 🌟,temet,2024-05-07T13:00:44Z,YouTube
Valorant,Bro Hit Immortal IRL❗️💀,Overtime Gaming,2024-03-17T18:00:11Z,YouTube
Valorant,Inoxtag est vraiment un pigeon… comme nous ! 🤣,SQUEEZIE GAMING,2023-05-18T17:00:08Z,YouTube
Valorant,Which One&#39;s More Expensive? | VALORANT vs CS2,nikimii,2023-11-17T00:00:15Z,YouTube
Valorant,Las 2 últimas kills… 🤯 Top Radiant - valorant live stream gameplay daily highlights clips,Horcus,2024-06-07T16:00:36Z,YouTube
Valorant,Iron to Radiant Speedrun (VALORANT WORLD RECORD),root,2022-11-05T16:44:28Z,YouTube
Valorant,Neon Tech is Insane 🤣,temet,2023-10-22T18:00:10Z,YouTube
Valorant,I GOT SUPER POWERS IN THIS GAME,Techno Gamerz,2023-03-23T03:30:12Z,YouTube
Valorant,The CALMEST calm aim clip in Valorant..,Rawzu,2024-04-18T07:12:20Z,YouTube
Valorant,Reyna can basically dash now...,Kanga,2024-06-11T15:21:59Z,YouTube
Valorant,this valorant knife is insane 💀,ohnepixel raw,2025-10-12T11:37:00Z,YouTube
Valorant,Report killjoy fake info #valorant #animation #gaming #valorantanimation,Keybee Animation,2023-09-08T08:41:58Z,YouTube
Valorant,Nobody Wants To Be Friends With Meeeeeee :(,MORFOSE,2025-08-04T19:33:05Z,YouTube
Valorant,tenz explains how to play better in valorant,Kyedae,2023-03-19T20:48:32Z,YouTube
Overwatch,Overwatch VS Valorant (Voice Actors) 🎤 #shorts,Bundun,2023-04-12T15:00:32Z,YouTube
Overwatch,Overwatch Animated Short | “Honor and Glory”,PlayOverwatch,2017-11-03T18:57:34Z,YouTube
Overwatch,Overwatch Animated Short | “Hero”,PlayOverwatch,2016-05-22T17:01:36Z,YouTube
Overwatch,Doomfist Origin Story | Overwatch,PlayOverwatch,2017-07-06T17:05:04Z,YouTube
Overwatch,Overwatch Animated Short | “Alive”,PlayOverwatch,2016-04-05T16:00:04Z,YouTube
Overwatch,Sigma Origin Story | Overwatch,PlayOverwatch,2019-07-22T18:00:08Z,YouTube
Overwatch,&quot;Junkertown: The Plan&quot; | Overwatch,PlayOverwatch,2017-08-21T16:25:39Z,YouTube
Overwatch,Overwatch Gameplay Trailer,PlayOverwatch,2014-11-07T21:29:18Z,YouTube
Overwatch,DVA has no skill issue,ALLinDRAMA,2023-05-02T17:11:21Z,YouTube
Overwatch,Overwatch 2 Gameplay Trailer,PlayOverwatch,2019-11-01T19:19:18Z,YouTube
Overwatch,Overwatch Theatrical Teaser | &quot;We Are Overwatch&quot;,PlayOverwatch,2015-12-18T16:59:56Z,YouTube
Overwatch,Overwatch Gameplay Trailer #2,PlayOverwatch,2015-11-06T20:43:01Z,YouTube
Overwatch,Overwatch characters ages😀 #overwatch #overwatch2 #overwatchfunny #overwatchleague #overwatchgame,ItsPapiDiego,2022-11-02T17:48:33Z,YouTube
Overwatch,[NEW HERO NOW AVAILABLE] Introducing Moira | Overwatch,PlayOverwatch,2017-11-03T18:53:01Z,YouTube
Overwatch,[NOW PLAYABLE] Introducing Ashe | Overwatch,PlayOverwatch,2018-11-02T19:15:48Z,YouTube
Overwatch,Ramattra | New Hero Gameplay Trailer | Overwatch 2,PlayOverwatch,2022-11-26T17:55:11Z,YouTube
Overwatch,Ramattra Origin Story | Overwatch 2,PlayOverwatch,2022-11-05T01:35:51Z,YouTube
Overwatch,What are you doing step echo Overwatch 2 #shorts,LJCFORD,2022-10-18T08:39:11Z,YouTube
Overwatch,Killing Streamers with Widowmaker in Overwatch 2 w/ reactions,TheRealKenzo,2022-10-12T18:47:09Z,YouTube
Overwatch,[NEW HERO] Introducing Ana | Overwatch,PlayOverwatch,2016-07-12T17:20:24Z,YouTube
Overwatch,New bug lets you infinitely fly as Sigma | Overwatch 2,Flats,2023-05-10T15:02:55Z,YouTube
Overwatch,Lucio World Record Fastest Kill,NoobHunter,2025-04-04T14:00:53Z,YouTube
Overwatch,[NEW HERO – NOW PLAYABLE] Introducing Sombra | Overwatch,PlayOverwatch,2016-11-04T20:35:59Z,YouTube
Overwatch,Overwatch Cinematic Teaser | &quot;Are You With Us?&quot;,PlayOverwatch,2016-05-02T16:00:05Z,YouTube
Overwatch,OVERWATCH 2&#39;s Answer to MARVEL RIVALS #shorts,jacobweeby,2025-02-15T01:29:01Z,YouTube
Counter Strike 2,when you download hacks for counter strike,skibidi,2023-01-31T19:13:12Z,YouTube
Counter Strike 2,counter strike sigma,skibidi,2023-02-19T23:03:46Z,YouTube
Counter Strike 2,Top 5 best funny Moments in CS2 😂 #cs2 #csgo #funnyclips #cs2memes #gaming,Park Dip,2025-07-26T11:16:31Z,YouTube
Counter Strike 2,When The UNEXPECTED Happens..💀,Virre CS2,2024-09-26T16:40:53Z,YouTube
Counter Strike 2,Clicking goes two ways,ESL Counter-Strike,2025-04-07T11:30:08Z,YouTube
Counter Strike 2,200IQ on CS2 VR,SkinsMonkey,2025-01-17T23:09:23Z,YouTube
Counter Strike 2,Playing CS2 during Work,Tradeit,2023-09-16T17:00:16Z,YouTube
Counter Strike 2,CURSED SHOTGUNS,LICHTENSTEIN,2024-04-16T18:19:46Z,YouTube
Counter Strike 2,CS2 VS CSGO PLAYERS,Lobanjica LIVE,2024-05-23T21:59:09Z,YouTube
Counter Strike 2,Amazing C4 bomb details in Counter-Strike,GameLight,2023-03-27T08:00:18Z,YouTube
Counter Strike 2,"POV: Dad, what does this GRAFFITI mean? 👴🏻#cs2 #csgo #cs #counterstrike #coldzera #flying #awp",Much Clutch CS2,2025-09-29T00:37:02Z,YouTube
Counter Strike 2,CS2 Details vs CS:GO,HS Top,2023-11-06T15:19:03Z,YouTube
Counter Strike 2,What new features did CS2 Beta bring to the players?,HS Top,2023-09-16T11:19:27Z,YouTube
Counter Strike 2,CS2 Physics vs CS:GO,HS Top,2023-10-21T13:17:19Z,YouTube
Counter Strike 2,Counter-Strike 2 Looks AMAZING,Greenskull,2023-10-01T23:17:38Z,YouTube
Counter Strike 2,Counter-Strike 2 HACKS IN-GAME?!,theScore esports,2023-03-29T23:00:11Z,YouTube
Counter Strike 2,Counter strike 1.6 Gameplay de dust 2,Dang Anh,2017-01-05T14:12:19Z,YouTube
Counter Strike 2,Neymar perfect clutch in CS2?,SkinsMonkey,2024-09-27T16:13:04Z,YouTube
Counter Strike 2,Counter-Strike: Zombie Escape Mod - ze_Random_Escape_v1 [NEW MAP] [4K],Dark Professional,2020-03-08T11:00:14Z,YouTube
Counter Strike 2,The Art of Locking in,ESL Counter-Strike,2025-10-15T11:30:53Z,YouTube
Counter Strike 2,CS:GO vs CS2,HS Top,2023-04-21T13:52:07Z,YouTube
Counter Strike 2,PLAYING CS:GO THEN vs NOW,matty1337,2022-08-31T21:28:54Z,YouTube
Counter Strike 2,Confusing the other team in CS2,Duality,2024-10-11T16:24:44Z,YouTube
Counter Strike 2,CS2 VS CS Source 👉 Details that are not in CS2,GameLight,2023-04-12T06:54:24Z,YouTube
Counter Strike 2,KSCERATO INSANE ACE vs VITALITY #shanghaimajor2024,qAp | CS2 Highlights,2025-08-01T07:00:16Z,YouTube
Deep Rock Galactic Rogue Core,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,delusional narcissist,2021-09-14T22:34:11Z,YouTube
Deep Rock Galactic Rogue Core,You Shouldn&#39;t Eat Precious Minerals | A Deep Rock Galactic Animation,DrDevvi,2024-08-30T16:30:20Z,YouTube
Deep Rock Galactic Rogue Core,Mission Control Finally Snapped | Deep Rock Galactic,DrDevvi,2023-12-08T16:41:41Z,YouTube
Deep Rock Galactic Rogue Core,Deep Rock Galactic - Ceiling Drop Pod #shorts,SaidAlot,2023-02-26T08:33:15Z,YouTube
Deep Rock Galactic Rogue Core,Le jeu qui a lavé le cerveau de 359 597 personnes,Kombo,2026-01-24T13:00:58Z,YouTube
Deep Rock Galactic Rogue Core,bro folded immediately | Deep Rock Galactic,DrDevvi,2025-02-14T23:36:34Z,YouTube
Deep Rock Galactic Rogue Core,Say it. You know you want to.,Ghost Ship Games,2025-04-09T13:30:02Z,YouTube
Deep Rock Galactic Rogue Core,Deep Rock Galactic: Rogue Core - Closed Alpha Gameplay Trailer,Ghost Ship Games,2025-04-10T16:06:24Z,YouTube
Deep Rock Galactic Rogue Core,Every Driller&#39;s brain:,Ghost Ship Games,2024-10-25T13:00:50Z,YouTube
Deep Rock Galactic Rogue Core,That&#39;s what happens when you trust a Driller - Deep Rock Galactic,241RandyTV Gaming ,2023-05-26T04:08:19Z,YouTube
Deep Rock Galactic Rogue Core,Top 10 NEW Games of May 2026,gameranx,2026-04-27T16:52:15Z,YouTube
Deep Rock Galactic Rogue Core,Deep Rock Galactic: Rogue Core - Pre-Alpha Teaser,Ghost Ship Games,2024-11-25T12:46:03Z,YouTube
Deep Rock Galactic Rogue Core,Deep Rock Galactic: Rogue Core - Release Date Trailer,Ghost Ship Games,2026-03-13T11:00:47Z,YouTube
Deep Rock Galactic Rogue Core,Every Driller NEEDS to do This #shorts #deeprockgalactic,JCozy,2022-06-01T22:27:09Z,YouTube
Deep Rock Galactic Rogue Core,Deep Rock Galactic: Rogue Core - Narrated Trailer,Ghost Ship Games,2026-05-13T13:00:06Z,YouTube
Deep Rock Galactic Rogue Core,CAVANDO FUNDO! - DEEP ROCK GALACTIC: ROGUE CORE COM OS AMIGOS,alanzoka,2026-05-22T15:47:02Z,YouTube
Deep Rock Galactic Rogue Core,The only bad thing about Rogue Core,DrDevvi,2025-05-07T01:42:57Z,YouTube
Deep Rock Galactic Rogue Core,10 Best NEW Games To Play In May 2026,Force Gaming,2026-04-30T14:48:48Z,YouTube
Deep Rock Galactic Rogue Core,One of the five classes in Rogue Core. Coming to Steam Early Access May 20,Ghost Ship Games,2026-04-23T16:59:53Z,YouTube
Deep Rock Galactic Rogue Core,DRG: Rogue Core Closed Alpha - My First Run as Falconer!,sniss,2025-05-06T11:28:13Z,YouTube
Deep Rock Galactic Rogue Core,deep rock galactic meme | which driller are you  #deeprockgalactic,denis,2025-05-31T19:13:02Z,YouTube
